Depth	Taxa_id	Taxonomic_Tree	metaphlan_mean
Genus	84108	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Slackia	0.0005729763197056459
Genus	2508948	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales|Candidatus_Borkfalkiaceae|Candidatus_Borkfalkia	0.00010877763447339607
Genus	1505657	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae|Intestinibacter	0.0005824144763846003
Genus	2815777	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Oliverpabstia	0.0012885894703324905
Genus	596767	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Hydrogenoanaerobacterium	0.0004455355279985786
Genus	172900	Bacteria|Lentisphaerae|Lentisphaeria|Victivallales|Victivallaceae|Victivallis	0.0004983684361914294
Genus	2172	Archaea|Euryarchaeota|Methanobacteria|Methanobacteriales|Methanobacteriaceae|Methanobrevibacter	0.0034062540008805795
Genus	2039240	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerotignum	0.0011121342193297881
Genus	209879	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Allisonella	0.00014676052692783517
Genus	577310	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Parasutterella	0.0023031210852045916
Genus	1473205	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Senegalimassilia	0.0006256934291301781
Genus	1573534	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalitalea	0.0001545828949123062
Genus	1505663	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium	0.0014836605586951452
Genus	35832	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales|Desulfovibrionaceae|Bilophila	0.0012292210550116384
Genus	1635148	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Porphyromonadaceae|Sanguibacteroides	7.313026470773216e-05
Genus	2678884	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerosacchariphilus	1.5303947259750205e-05
Genus	1980681	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Colidextribacter	3.5951316129750194e-05
Genus	1017280	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Pseudoflavonifractor	0.00040865920741583794
Genus	2983250	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Youxingia	1.7002631593241324e-05
Species	28117	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_putredinis	0.02095879077796436
Species	204516	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola_massiliensis	0.0038994644870617907
Species	487174	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|Barnesiella_intestinihominis	0.008078578933083412
Species	28052	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnospira|Lachnospira_pectinoschiza	0.005269252603335309
Species	2500537	Bacteria|Bacillota|Clostridia|Eubacteriales|Eubacteriales_incertae_sedis|Candidatus_Cibionibacter|Candidatus_Cibionibacter_quicibialis	0.01766443695162378
Species	301302	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Roseburia|Roseburia_faecis	0.02376632775937414
Species	2981769	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Brotolimicola|Brotolimicola_acetigignens	0.002288110537259798
Species	1776391	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae|Romboutsia|Romboutsia_timonensis	0.0012625500137247517
Species	2259133	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Sutterellaceae|Mesosutterella|Mesosutterella_multiformis	0.0003005513080089686
Species	1898204	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridiaceae_unclassified|Clostridiaceae_bacterium	0.0030438842001781798
Species	2293035	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_sp_AM49_4BH	0.0015270249747424268
Species	1150298	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Fusicatenibacter|Fusicatenibacter_saccharivorans	0.016748451319572
Species	40518	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Ruminococcus|Ruminococcus_bromii	0.03560311731983804
Species	253257	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lacrimispora|Lacrimispora_amygdalina	0.0010716894773344268
Species	290055	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Faecalicatena|Faecalicatena_fissicatena	0.0019120302751699386
Species	1715004	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Eubacteriales_unclassified|Clostridiales_bacterium_KLE1615	0.0028203434272571935
Species	2293015	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_sp_AF36_4	0.0017746421122989669
Species	1628085	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Agathobaculum|Agathobaculum_butyriciproducens	0.0040875249898552485
