Depth	Taxa_id	Taxonomic_Tree	metaphlan_mean
Species	40518	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Ruminococcus|Ruminococcus_bromii	0.0037816999225786657
Species	253257	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lacrimispora|Lacrimispora_amygdalina	0.0036738999247856144
Species	290055	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Faecalicatena|Faecalicatena_fissicatena	0.003632899925624992
Species	1715004	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Eubacteriales_unclassified|Clostridiales_bacterium_KLE1615	0.0030567999374192726
Species	2293015	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_sp_AF36_4	0.0030434999376915592
Species	1628085	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Agathobaculum|Agathobaculum_butyriciproducens	0.002700899944705481
Species	745368	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_unclassified|Gemmiger|Gemmiger_formicilis	0.002317599952552639
Species	2885350	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnospiraceae_unclassified|Lachnospiraceae_bacterium_CLA_AA_H244	0.002155899955863063
Species	1519439	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter|Oscillibacter_sp_ER4	0.002055599957916467
Species	871665	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_faecis	0.0019675999597180585
Species	2885357	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Oscillospiraceae_unclassified|Oscillospiraceae_bacterium_CLA_AA_H250	0.0019328999604284586
Species	2592640	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_sp_MCC283	0.0018083999629773008
Species	351091	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Oscillibacter|Oscillibacter_valericigenes	0.001702899965137163
Species	2292190	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_sp_AF17_16	0.0014442999704313844
Species	2292206	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_sp_AF27_2AA	0.0014395999705276057
Species	1414720	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_saudiense	0.0013510999723394333
Species	2126740	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae|Clostridium|Clostridium_fessum	0.0010048999794270569
Species	2881276	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Fusicatenibacter|Fusicatenibacter_sp_CLA_AA_H277	0.0009079999814108544
