Depth	Taxa_id	Taxonomic_Tree	MetaPhlAn_mean	Kraken_mean	Metaphlan/Kraken
Genus	1301	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	0.0030254445190039288	0.003636066500686103	83.21
Genus	447020	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia	0.0034703556558440055	0.00698333112910102	49.69
Genus	29465	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella	0.0006840889155877356	0.0007578447764034694	90.27
Genus	1350	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus	3.212777859869114e-05	0.0003671858731467778	8.75
Genus	2172004	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter	0.0014784111328156582	0.002858897160972519	51.71
Genus	2944193	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Simiaoa	0.008212061060554153	0.016065408762397416	51.12
Genus	644652	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter	0.00033932778918501465	0.0008472011957144105	40.05
Genus	946234	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Flavonifractor	0.0023739388777009158	0.007906167202773243	30.03
Species	821	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola_vulgatus	0.029598155653288598	0.06576603002831956	45.01
Species	46506	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_stercoris	0.008007927706954953	0.014465739866534315	55.36
Species	28116	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_ovatus	0.005492922190878626	0.009440238832575418	58.19
Species	853	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Faecalibacterium|Faecalibacterium_prausnitzii	0.11747454548906631	0.09268634536662801	126.74
Species	820	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_uniformis	0.029365228159231	0.04308445186045722	68.16
Species	39491	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnospiraceae_unclassified|Eubacterium_rectale	0.03907259519721699	0.05778947136469718	67.61
Species	328814	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_shahii	0.004529599967619053	0.00829001890290728	54.64
Species	28118	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Odoribacter|Odoribacter_splanchnicus	0.00397004999893913	0.007815071856831961	50.8
Species	33043	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Coprococcus|Coprococcus_eutactus	0.00785232769693622	0.0021686377026268475	362.09
Species	39485	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Lachnospira|Lachnospira_eligens	0.0036017444377352287	0.006968892606591958	51.68
Species	357276	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Phocaeicola_dorei	0.006199661213654447	0.019301607502158397	32.12
Species	328813	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_onderdonkii	0.006158372296117157	0.011938322649994431	51.58
Species	2585118	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_communis	0.003378055563179285	0.007507092640807329	45.0
Species	47678	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_caccae	0.003248316657958744	0.008198767943714241	39.62
Species	2582419	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Dialister|Dialister_hominis	0.002403394365425643	0.0006789238669102789	354.0
Species	246787	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_cellulosilyticus	0.0020483722588889187	0.008221191139720623	24.92
Species	418240	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_wexlerae	0.010980644587670847	0.01863019625227265	58.94
Species	88431	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Dorea|Dorea_longicatena	0.00784817232812939	0.013910682164578893	56.42
Species	338188	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_finegoldii	0.0016792111411560707	0.0022707345497516023	73.95
Species	387661	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides_johnsonii	0.000537211109568253	0.0017407378655066317	30.86
Species	46503	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides_merdae	0.003980894443934628	0.009380450762979503	42.44
Species	818	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_thetaiotaomicron	0.0011533722163700225	0.007319087891479295	15.76
Species	216816	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_longum	0.02496200029435286	0.027995517230917095	89.16
Species	1680	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_adolescentis	0.040304521862523125	0.036179466785210335	111.4
Species	674529	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_faecis	0.0012273333176836658	0.004837316693866632	25.37
Species	2735723	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Turicibacteraceae|Turicibacter|Turicibacter_bilis	0.00017486110942750667	0.00015072438080292134	116.01
Species	823	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides|Parabacteroides_distasonis	0.0033565277785259973	0.010572283859480523	31.75
Species	729	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae|Haemophilus|Haemophilus_parainfluenzae	0.00013973888642632943	0.0005504349500593882	25.39
Species	74426	Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Coriobacteriaceae|Collinsella|Collinsella_aerofaciens	0.005677216619466006	0.016904331946696972	33.58
Species	907	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Megasphaera|Megasphaera_elsdenii	0.00011271110880361854	0.00024425841581235115	46.14
Species	1160721	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Ruminococcus|Ruminococcus_bicirculans	0.01147635564730863	0.016386038050672964	70.04
Species	2763670	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Wujia|Wujia_chipingensis	0.003177544320730381	0.005402433017331238	58.82
Species	1472416	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas_faecihominis	0.0006160277894899644	0.0016479903580360678	37.38
Species	39488	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerobutyricum|Anaerobutyricum_hallii	0.006443005649555484	0.012009731624850478	53.65
Species	410072	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Coprococcus|Coprococcus_comes	0.003952205625195609	0.007148222061305697	55.29
Species	649756	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Anaerostipes|Anaerostipes_hadrus	0.01060578898484946	0.012953171980332825	81.88
Species	291644	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_salyersiae	0.0006341944503235083	0.0023786177187060395	26.66
Species	116085	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Coprococcus|Coprococcus_catus	0.0018418166659276262	0.0032048569059196113	57.47
Species	1472417	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas_paravirosa	0.00019489444493904831	0.0010398196384257816	18.74
Species	214856	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_finegoldii	0.0014855889322007373	0.0047574762121539065	31.23
Species	40520	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_obeum	0.004100455613979409	0.011929507213344672	34.37
Species	544645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Odoribacteraceae|Butyricimonas|Butyricimonas_virosa	0.00042269999948131234	0.0014035897619473357	30.12
Species	39496	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriaceae|Eubacterium|Eubacterium_ventriosum	0.0023347167095645553	0.003453889611279281	67.6
Species	1501392	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Coprobacter|Coprobacter_secundus	0.00012033888667309194	0.00043656599333298453	27.56
Species	187327	Bacteria|Firmicutes|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|Acidaminococcus_intestini	0.002584088783552196	0.0038051652717391634	67.91
Species	1470347	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_ihumii	0.0008528888821919291	0.0015038893218882025	56.71
Species	1982626	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibacillus|Faecalibacillus_intestinalis	0.001224305583164209	0.0024384183310349884	50.21
Species	33038	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter|Ruminococcus_gnavus	0.0018657944141931846	0.0037821315006842057	49.33
Species	39486	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Dorea|Dorea_formicigenerans	0.0017358444585953282	0.0030008922679075067	57.84
Species	2714355	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Vescimonas|Vescimonas_coprocola	0.0009263055618404624	0.0032621821916989377	28.4
Species	2093857	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Dysosmobacter|Dysosmobacter_welbionis	0.0016435500033889047	0.004167220768666989	39.44
Species	89014	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_luti	0.00015157222237080844	0.003532208468545266	4.29
Species	46228	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter|Ruminococcus_lactaris	0.0017986611394082237	0.003141213916093172	57.26
Species	1686	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_catenulatum	0.008277883760043554	0.008598756804108714	96.27
Species	1099853	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Coprobacter|Coprobacter_fastidiosus	0.00022756667224359465	0.0006184698430828239	36.8
Species	1288121	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_senegalensis	0.000618066649853385	0.0028186608064514444	21.93
Species	371601	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_xylanisolvens	0.0024832945626195556	0.006802387453616199	36.51
Species	33039	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter|Ruminococcus_torques	0.001304033375202245	0.009278447646869577	14.05
Species	446660	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia|Adlercreutzia_equolifaciens	0.003462255656161654	0.0028518562512307895	121.4
Species	29466	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella_parvula	0.00012626667136161462	0.00018552444256542716	68.06
Species	154288	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Turicibacteraceae|Turicibacter|Turicibacter_sanguinis	1.3088888734050004e-05	4.708775828630759e-05	27.8
Species	1308	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_thermophilus	0.0013792278044064158	0.0015840406790545896	87.07
Species	1352	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_faecium	1.809444462614994e-05	0.00029612248199392894	6.11
Species	626932	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_indistinctus	0.0003299111097858208	0.0007285253587284795	45.28
Species	2108523	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter|Lawsonibacter_asaccharolyticus	0.0014784111328156582	0.002858897160972519	51.71
Species	291645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_nordii	1.876111140042658e-05	0.0004908792463875491	3.82
Species	29348	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|Clostridium_spiroforme	0.00013413333782903914	0.00021804066483066195	61.52
Species	1304	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_salivarius	0.0012844222615497074	0.0015667249064261395	81.98
Species	2763672	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Simiaoa|Simiaoa_sunii	0.008212061060554153	0.016065408762397416	51.12
Species	471189	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Gordonibacter|Gordonibacter_pamelaeae	0.00014933333856733438	0.0004069862814748816	36.69
Species	28037	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_mitis	4.384444537658735e-05	5.779398038862572e-05	75.86
Order	2037	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales	0.0001906611074578723	0.00038068888924102707	50.08
Order	91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	0.000822449999910192	0.0013872146107873533	59.29
Order	1385	Bacteria|Firmicutes|Bacilli|Bacillales	1.8111111799631712e-06	4.106531080664269e-05	4.41
Family	171552	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae	0.02239701611215178	0.03219372628713362	69.57
Family	543314	Bacteria|Firmicutes|Clostridia|Eubacteriales|Eubacteriales_Family_XIII_Incertae_Sedis	0.0010663166757789748	0.0008106535010013299	131.54
Family	2049	Bacteria|Actinobacteria|Actinomycetia|Actinomycetales|Actinomycetaceae	0.0001906611074578723	0.00038068888924102707	50.08
Family	543	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.0008176888886241383	0.001368438239532305	59.75
Family	33958	Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	0.0011171055191994724	0.001235693570134676	90.4
