Depth	Taxaid	Taxonomic Tree	MetaPhlAn Average	Kraken Average
Order	2171984	Bacteria|Candidatus_Saccharibacteria|Candidatus_Nanosyncoccalia|Candidatus_Nanogingivales	5.120000388127649e-05	0	5.120000388127649e-05
Order	2508939	Bacteria|Firmicutes|Clostridia|Candidatus_Borkfalkiales	0.0033607999634826333	0	0.0033607999634826333
Family	119060	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Burkholderiaceae	0	6.664093475849651e-06	-6.664093475849651e-06
Family	33958	Bacteria|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae	5.40999984560527e-05	7.401397434879826e-05	-1.9913975892745558e-05
Family	2762318	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales|Weeksellaceae	0	1.3617422008674147e-05	-1.3617422008674147e-05
Family	468	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae	0	2.033257456248596e-05	-2.033257456248596e-05
Family	81852	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae	4.699999865867794e-06	0.00022762841842827723	-0.00022292841856240943
Family	76892	Bacteria|Pseudomonadota|Alphaproteobacteria|Caulobacterales|Caulobacteraceae	0	1.7978797079070583e-06	-1.7978797079070583e-06
Family	990719	Bacteria|Firmicutes|Clostridia|Eubacteriales|Christensenellaceae	9.299999734589465e-06	0	9.299999734589465e-06
Family	83763	Bacteria|Proteobacteria|Gammaproteobacteria|Aeromonadales|Succinivibrionaceae	5.4000000357012215e-05	0	5.4000000357012215e-05
Family	2547934	Eukaryota|Eukaryota_unclassified|Bigyra|Opalinata|Blastocystidae	0.00028039998738032585	0	0.00028039998738032585
Family	171550	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae	0.03586219961033293	0.00919199681507376	0.026670202795259168
Family	186803	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae	0.185519597984204	0.12037008915507832	0.06514950882912568
Family	186804	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptostreptococcaceae	0.0003536999961568101	0.0025904323865187824	-0.0022367323903619723
Family	31977	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae	0.01300669979483284	0.014717636262491665	-0.0017109364676588246
Family	75682	Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae	0.00015089999836036938	3.5645810634651115e-05	0.00011525418772571826
Family	171552	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prevotellaceae	0.009689199894720285	0.00843126927642209	0.0012579306182981947
Family	2005473	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Muribaculaceae	0.01298390008584094	0.0003546148464489357	0.012629285239392005
Family	2005519	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae	0.003781699958909271	0.004805775562803254	-0.0010240756038939827
Family	1300	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	7.339999920245933e-05	0.0014999031154239993	-0.00142650311622154
Family	85030	Bacteria|Actinomycetota|Actinomycetes|Geodermatophilales|Geodermatophilaceae	0	3.7826172246317072e-06	-3.7826172246317072e-06
Family	72294	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Campylobacteraceae	3.3999999463685378e-06	0.00010472552002686282	-0.00010132552008049429
Family	1843491	Bacteria|Firmicutes|Negativicutes|Selenomonadales|Selenomonadaceae	0.006378399899387377	6.210367962600314e-06	0.006372189531424777
Family	2944141	Bacteria|Firmicutes|Clostridia|Eubacteriales|Feifaniaceae	3.3999999630566996e-06	0	3.3999999630566996e-06
Family	712	Bacteria|Proteobacteria|Gammaproteobacteria|Pasteurellales|Pasteurellaceae	0.0008971999858476035	0.005524164839499846	-0.0046269648536522425
Family	481	Bacteria|Proteobacteria|Betaproteobacteria|Neisseriales|Neisseriaceae	0.00022900001321871663	0	0.00022900001321871663
Family	2944140	Bacteria|Firmicutes|Clostridia|Eubacteriales|Yeguiaceae	3.9199999574065475e-05	0	3.9199999574065475e-05
Family	119045	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales|Methylobacteriaceae	0	7.262625071292878e-06	-7.262625071292878e-06
Family	31979	Bacteria|Firmicutes|Clostridia|Eubacteriales|Clostridiaceae	0.03159609965668699	0.0019741029924587135	0.029621996664228278
Family	1903412	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Hafniaceae	0.00040490001817361813	0	0.00040490001817361813
Family	206349	Bacteria|Proteobacteria|Hydrogenophilalia|Hydrogenophilales|Hydrogenophilaceae	0.00040080002756412664	3.0702253473489767e-06	0.00039772980221677764
Family	186807	Bacteria|Firmicutes|Clostridia|Eubacteriales|Peptococcaceae	1.3300000301375798e-05	0	1.3300000301375798e-05
Family	2975441	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales|Sphaerotilaceae	0	1.4449597798093121e-05	-1.4449597798093121e-05
Family	85019	Bacteria|Actinomycetota|Actinomycetes|Micrococcales|Brevibacteriaceae	0	2.3234137763721986e-06	-2.3234137763721986e-06
Family	2944142	Bacteria|Firmicutes|Clostridia|Eubacteriales|Bianqueaceae	0.00012899999631849903	0	0.00012899999631849903
Family	1653	Bacteria|Actinobacteria|Actinomycetia|Corynebacteriales|Corynebacteriaceae	5.800000164685022e-06	3.631312535646439e-06	2.168687629038583e-06
Family	2517203	Archaea|Candidatus_Thermoplasmatota|Thermoplasmata|Methanomassiliicoccales|Candidatus_Methanomethylophilaceae	3.719999776046023e-05	0	3.719999776046023e-05
Family	543	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	0.00018349999800614834	0.00833048549679158	-0.008146985498785432
Family	1570339	Bacteria|Firmicutes|Tissierellia|Tissierellales|Peptoniphilaceae	3.760000106761325e-05	0	3.760000106761325e-05
Family	1643826	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.0003120999966088223	0.00022811050178610467	8.398949482271763e-05
