Sample	Taxa_id	Taxonomic_Tree	MetaPhlAn	Kraken	Meta/Kraken
AMCTRL15	1470347	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_ihumii	0.0005309999891290349	0.00160533605997703	0.3307718566644748
AMCTRL15	1982626	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Faecalibacillus|Faecalibacillus_intestinalis	0.0005096999895651019	0.000756727911670651	0.6735578028829701
AMCTRL15	33038	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter|Ruminococcus_gnavus	0.0004688999904003851	0.000940971271995615	0.498314884157877
AMCTRL15	39486	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Dorea|Dorea_formicigenerans	0.00043599999107393447	0.00122767448531044	0.3551429929438371
AMCTRL15	2714355	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Vescimonas|Vescimonas_coprocola	0.0004218999913625985	0.00156402726749054	0.26975232474017613
AMCTRL15	2093857	Bacteria|Firmicutes|Clostridia|Eubacteriales|Oscillospiraceae|Dysosmobacter|Dysosmobacter_welbionis	0.00039609999189079234	0.00174471482314876	0.22702850152664725
AMCTRL15	89014	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Blautia|Blautia_luti	0.0003399999930393067	0.00242286384156669	0.14032979782283325
AMCTRL15	46228	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter|Ruminococcus_lactaris	0.0003273999932972618	0.00120853459846229	0.27090659523842975
AMCTRL15	1686	Bacteria|Actinobacteria|Actinomycetia|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Bifidobacterium_catenulatum	0.00032229999340167224	0.000414580484848453	0.7774123606408699
AMCTRL15	1099853	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Barnesiellaceae|Coprobacter|Coprobacter_fastidiosus	0.00027699999432908223	0.000941893147279586	0.294088554661561
AMCTRL15	1288121	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_senegalensis	0.00022819999532814646	0.00317902106853774	0.07178310253637672
AMCTRL15	371601	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_xylanisolvens	0.00022459999540184794	0.0088582557048496	0.02535487830622082
AMCTRL15	33039	Bacteria|Firmicutes|Clostridia|Eubacteriales|Lachnospiraceae|Mediterraneibacter|Ruminococcus_torques	0.00019899999592594718	0.00288722559174955	0.06892429760064597
AMCTRL15	446660	Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia|Adlercreutzia_equolifaciens	0.00015329999686154624	0.000216508995263932	0.7080537077670525
AMCTRL15	29466	Bacteria|Firmicutes|Negativicutes|Veillonellales|Veillonellaceae|Veillonella|Veillonella_parvula	0.00015019999692501138	0.000230600517461767	0.6513428442324036
AMCTRL15	154288	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Turicibacteraceae|Turicibacter|Turicibacter_sanguinis	0.00013069999732422761	0.000334684626904342	0.39051688311212357
AMCTRL15	1308	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_thermophilus	0.00011429999765997869	0.000229503046885611	0.49803259351475254
AMCTRL15	1352	Bacteria|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_faecium	8.679999822297595e-05	0.000334684626904342	0.25934862627492217
AMCTRL15	626932	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Rikenellaceae|Alistipes|Alistipes_indistinctus	8.199999832124457e-05	0.000571211485477347	0.14355453348897432
AMCTRL15	2108523	Bacteria|Bacillota|Clostridia|Eubacteriales|Oscillospiraceae|Lawsonibacter|Lawsonibacter_asaccharolyticus	8.079999834581172e-05	0.000587497948827493	0.1375323922527209
AMCTRL15	291645	Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Bacteroides_nordii	5.269999892109255e-05	0.00115361717083148	0.04568239815909514
AMCTRL15	29348	Bacteria|Firmicutes|Erysipelotrichia|Erysipelotrichales|Erysipelotrichaceae|Erysipelatoclostridium|Clostridium_spiroforme	4.079999916471681e-05	0.000138325191418623	0.29495711335212244
